kit_id,lat,lon,label
USP_15773509,52.0919,5.17468,"""PU005"""
USP_15708774,52.0884,5.17685,"""PU018"""
USP_15709259,52.0833,5.18231,"""PU016"""
USP_15709341,52.0844,5.16136,"""JCD01"""
USP_15709689,52.0834,5.17742,"""PU012"""
USP_15709818,52.0829,5.17567,"""PU003"""
USP_10695905,52.0854,5.16822,"""PU017"""
USP_10763145,52.0858,5.176,"""PU009"""
USP_10763351,52.086,5.17368,"""PU014"""
USP_15710688,52.0889,5.18102,"""PU020"""
USP_15771764,52.0829,5.1721,"""PU001"""
USP_15772004,52.0892,5.18775,"""PU004"""
USP_15772731,52.0837,5.16944,"""PU007"""
USP_15707842,52.1205,5.19178,"""PU021"""
USP_15709749,52.0867,5.16449,"""PU019"""
USP_15711107,52.0806,5.17469,"""PU011"""
USP_15771119,52.1205,5.19177,"""PU022"""
USP_15711100,52.0891,5.16567,"""PU002"""
USP_15769948,52.0846,5.17166,"""PU006"""
USP_15771968,52.0846,5.17181,"""JCD02"""
USP_15711612,52.0842,5.17225,"""PU008"""
USP_15772929,52.0841,5.16497,"""PU010"""
